url,parenturl,depth
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDOc0000177,http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSA0000006,102
javascript:void(0);,http://www.chcedo.com/reviews/reviews.htm,13
http://www.chcedo.com/topic/topicPage.htm?urlInfo=lianseliaoyu.html,http://www.chcedo.com/activity/activityIndex.htm,12
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GFQV0000105",http://www.chcedo.com/bestseller/bestsellerAward.htm,8
javascript:void(0),http://www.chcedo.com/login.htm,18
http://www.chcedo.com/person/notification.htm,http://www.chcedo.com/person/personalCenter.htm,19
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GFRf0000145",http://www.chcedo.com/bestseller/bestsellerAward.htm,8
http://www.chcedo.com/topic/topicPage.htm?urlInfo=caizhuang.html,http://www.chcedo.com/index.htm,4
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQF0000036,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQH0000038,23
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRG0000085,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRG0000086,66
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRA0000076,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRB0000077,75
http://www.chcedo.com/activity/activityDetail_10.htm,http://www.chcedo.com/activity/activityIndex.htm,12
http://www.chcedo.com/product/productdetail.htm?pid=11717GFRd0000136,http://www.chcedo.com/product/productdetail.htm?pid=11717GFR90000125,10
http://www.chcedo.com/product/productdetail.htm?pid=15218FRN40003421,http://www.chcedo.com/product/productdetail.htm?pid=15218FROc0004343,22
http://www.chcedo.com/product/productdetail.htm?pid=11717GHNa0000096,http://www.chcedo.com/product/productdetail.htm?pid=11717GHIP0000012,19
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQT0000057,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQU0000058,91
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSz0000133,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSz0000134,115
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSu0000125,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSU0000159,123
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSu0000124,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSu0000125,124
http://www.chcedo.com/skin/productList_100001002.htm,http://www.chcedo.com/skin/skinIndex.htm,7
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQG0000073,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQL0000083,14
http://www.chcedo.com/product/productdetail.htm?pid=11717GHOq0000145,http://www.chcedo.com/product/productdetail.htm?pid=15218FROp0004579,29
